record_id,experiment_id,figure_panel,cell_line,assay,observable,variant,dose_nM,time_min,condition,inhibitor,inhibitor_concentration_uM,value,value_unit,replicate_count,dispersion_value,extraction_method,evidence_class
fig7d_WT_control_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,15,control,,,105.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,60,control,,,80.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,90,control,,,61.4,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,120,control,,,45.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,180,control,,,38.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,1,endocytosis_inhibited,EHT1864,100,59.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,5,endocytosis_inhibited,EHT1864,100,69.3,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,15,endocytosis_inhibited,EHT1864,100,68.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,60,endocytosis_inhibited,EHT1864,100,59.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,90,endocytosis_inhibited,EHT1864,100,59.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,120,endocytosis_inhibited,EHT1864,100,46.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_EHT1864_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,180,endocytosis_inhibited,EHT1864,100,13.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,1,control,,,0.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,5,control,,,6.3,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,15,control,,,36,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,60,control,,,59.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,90,control,,,40.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,120,control,,,30.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_control_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,180,control,,,19.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,1,endocytosis_inhibited,EHT1864,100,0,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,5,endocytosis_inhibited,EHT1864,100,1.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,15,endocytosis_inhibited,EHT1864,100,19.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,60,endocytosis_inhibited,EHT1864,100,37.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
